ProjectID,Title,Lead,Member1,Member2,Advisor,Status
P001,Software Development,7447677,9898118,5662557,Prof. David Miller,In Progress
P002,Marketing Campaign,5687866,3557832,1863421,Dr. Jennifer Lee,Completed
P003,Research Study,4865631,3938213,4788888,Prof. Richard Evans,On Hold
P004,Product Launch,7476758,1554306,8382345,Dr. Carol Adams,Planned
P005,Event Planning,1042748,1228464,7998314,Prof. Laura Taylor,In Progress
P006,Financial Analysis,8382345,8347432,5086282,Dr. Lily Davis,Completed
P007,Community Outreach,8466074,4720327,2472659,Prof. Ethan Turner,Planned
P008,Art Exhibition,2567260,3938213,5484541,Dr. Jennifer Lee,In Progress
P009,Mobile App Development,9898118,1863421,2472659,Prof. Robert Hughes,On Hold
P010,Training Workshop,5687866,7476758,3557832,Dr. Olivia Green,Completed
P011,Environmental Study,1228464,7998314,4720327,Prof. Michael Robinson,In Progress
P012,Social Media Campaign,3557832,1554306,8347432,Dr. Zoey Turner,Planned
P013,Healthcare Research,4788888,4865631,7476758,Prof. Benjamin Smith,On Hold
P014,Product Design,3938213,1042748,8466074,Dr. Emily Davis,In Progress
P015,Charity Fundraiser,1554306,7476758,9898118,Prof. Christopher Smith,Planned
P016,Education Program,2567260,1863421,8382345,Dr. Lisa Carter,Completed
P017,Travel Blogging,5687866,7998314,5484541,Prof. Matthew Brown,In Progress
P018,Humanitarian Project,9898118,4788888,1042748,Dr. Lily Davis,On Hold
P019,Blockchain Development,Antonio Rudiger,Christian Pulisic,N'Golo Kante,Prof. Daniel Martin,Planned
P020,Space Exploration,Kai Havertz,Timo Werner,Edouard Mendy,Dr. Olivia Green,In Progress
